"maTin","loai","tinhThanhPho","diaChi","giaCa","dienTich","ngayDangTin","ngayHetHan","duongpho","matTienM","duongVaoM","soTang","soPhongTam","noiThat","tienIchKemTheo","phapLy","soPhongNgu","dacDiemXaHoi","huongNha","huongBanCong","duAn"
"464523","Nhà riêng","Cầu Giấy, Hà Nội","Cầu Giấy, Hà Nội","5,3 Tỷ","225 m²","20/08/2020","04/10/2020",,,,,,,,,,,,,
"500683","Nhà riêng","La Khê, Hà Đông, Hà Nội","La Khê, Hà Đông, Hà Nội","2,2 Tỷ","30 m²","20/08/2020","04/10/2020",,,,,,,,,,,,,
"502593","Cửa hàng kiot","Hà Cầu, Hà Đông, Hà Nội","Hà Trì, Hà Cầu, Hà Đông, Hà Nội","30 Triệu/tháng","210 m²","20/08/2020","19/10/2020","Hà Trì","8","30","2","2","Sàn gỗ/đá,Bình nóng lạnh,Điều hòa,Bồn rửa mặt","Chỗ để xe máy,Chỗ để ôtô,Hệ thống an ninh,Truyền hình cáp,Internet","Sổ đỏ",,,,,
"502590","Cửa hàng kiot","Phúc La, Hà Đông, Hà Nội","Yên Phúc, Phúc La, Hà Đông, Hà Nội","7 Triệu/tháng","70 m²","20/08/2020","19/10/2020","Yên Phúc","5","20","2","1","Sàn gỗ/đá,Bình nóng lạnh,Bồn rửa mặt","Chỗ để xe máy,Chỗ để ôtô,Hệ thống an ninh,Truyền hình cáp,Internet","Sổ đỏ","1",,,,
"504069","Nhà riêng","Bạch Đằng, Hai Bà Trưng, Hà Nội","Đầm Trấu, Bạch Đằng, Hai Bà Trưng, Hà Nội","6 Tỷ","45 m²","19/08/2020","03/10/2020","Đầm Trấu",,,,,"Bàn ăn,Bàn trà,Sofa phòng khách,Kệ ti vi,Giường ngủ,Tủ quần áo,Sàn gỗ/đá,Trần thả,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt,Bồn tắm","Chỗ để xe máy,Chỗ để ôtô,Trung tâm thể dục,Hệ thống an ninh,Truyền hình cáp,Internet","Sổ đỏ",,"Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Khu dân trí cao,Gần chợ",,,
"504065","Nhà riêng","Xuân Đỉnh, Bắc Từ Liêm, Hà Nội","Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội","2,49 Tỷ","35 m²","19/08/2020","03/10/2020","Xuân Đỉnh",,,"5","4",,,,"3",,,,
"504063","Nhà riêng","Ô Chợ Dừa, Đống Đa, Hà Nội","Hào Nam, Ô Chợ Dừa, Đống Đa, Hà Nội","4,6 Tỷ","46 m²","19/08/2020","03/10/2020","Hào Nam",,,,,,"Chỗ để xe máy","Sổ đỏ",,,,,
"504060","Căn hộ Cao cấp","Đại Kim, Hoàng Mai, Hà Nội","Nguyễn Xiển, Đại Kim, Hoàng Mai, Hà Nội","720 Triệu","45 m²","19/08/2020","03/10/2020","Nguyễn Xiển",,,"10","1",,,"Sổ đỏ","1",,"Đông-Nam","Tây-Bắc",
"504057","Nhà riêng","Phúc La, Hà Đông, Hà Nội","Phúc La, Hà Đông, Hà Nội","2,5 Tỷ","35 m²","19/08/2020","03/10/2020",,,"3","5","3",,,"Sổ đỏ","3",,"Đông-Nam","Đông-Nam",
"504047","Nhà mặt phố","Láng Thượng, Đống Đa, Hà Nội","Chùa Láng, Láng Thượng, Đống Đa, Hà Nội","23 Tỷ","79 m²","19/08/2020","03/10/2020","Chùa Láng",,,"5",,,,"Sổ đỏ",,,,,
